,stcode,설립유형,총_대기율,staff_score,capacity_score,safety_score,service_score,affordability_score,final_score,기관명,주소_정제,위도,경도
1708,11410000216,가정,23,0.39775,0.032,0.503,0.0,0.025,0.19155,서대문천연사임당어린이집,서울특별시 서대문구 독립문로8길 54 114동 103호,37.56744468,126.9584962
1709,11410000217,국공립,61,0.301,0.039,0.432,0.029,0.178,0.1958,예그린어린이집,서울특별시 서대문구 증가로30길 8 서부아파트 103호,37.5832533,126.9130998
1710,11410000230,국공립,296,0.3575,0.1243333333333333,0.6375,0.14725,0.351,0.3235166666666666,북아현어린이집,서울특별시 서대문구 북아현로1가길 6 구립북아현어린이집,37.5581532,126.9500426
1711,11410000231,국공립,51,0.258,0.1093333333333333,0.5345,0.05175,0.292,0.2491166666666666,꿈빛나무어린이집,서울특별시 서대문구 세검정로1길 116 홍은 복지관내 꿈빛나무어린이집,37.5954603,126.9463862
1712,11410000232,민간,5,0.312,0.0743333333333333,0.5435,0.375,0.419,0.3447666666666666,마미어린이집,서울특별시 서대문구 증가로32길 58,37.5857844,126.9136055
1713,11410000234,직장,0,0.422,0.2333333333333333,0.7315,0.19225,0.692,0.4542166666666666,서대문구청직장어린이집,서울특별시 서대문구 홍제천로 182,37.57841026841715,126.9332389199768
1714,11410000298,민간,18,0.249,0.0546666666666666,0.646,0.309,0.487,0.3491333333333333,은현어린이집,서울특별시 서대문구 응암로 151,37.5858188,126.9151489
1715,11410000299,직장,0,0.28275,0.3636666666666667,0.7,0.125,0.839,0.4620833333333333,연세대학교유진어린이집,서울특별시 서대문구 연세로 50 연세대학교,37.56411095,126.9389787
1716,11410000310,직장,0,0.2624999999999999,0.0733333333333333,0.7,0.03525,0.24,0.2622166666666666,이화오뚜기어린이집,서울특별시 서대문구 이화여대길 52,37.56389869789252,126.9506833346416
1717,11410000312,가정,28,0.312,0.0753333333333333,0.3605,0.1418333333333333,1.0,0.3779333333333333,한양에코캠어린이집,서울특별시 서대문구 응암로 28 연희한양아파트 2동 102호,37.5760737006132,126.910197971327
1718,11410000313,가정,0,0.18,0.0176666666666666,0.432,0.0,0.221,0.1701333333333333,리틀삐아제어린이집,서울특별시 서대문구 증가로 200-5 1층,37.580330973071,126.916374041293
1719,11410000317,가정,129,0.22425,0.0559999999999999,0.503,0.1415,0.332,0.25135,현대숲어린이집,서울특별시 서대문구 통일로34길 46 110동 103호,37.58517652860547,126.9509496486492
1720,11410000321,가정,100,0.408,0.0403333333333333,0.4635,0.08025,0.625,0.3234166666666667,꼬마숲어린이집,서울특별시 서대문구 수색로 100 DMC래미안e편한세상211동101호,37.57331211435547,126.9121055678934
1721,11410000322,국공립,207,0.40975,0.107,0.5745,0.17875,0.304,0.3148,푸른숲어린이집,서울특별시 서대문구 수색로 100 2블럭 207동옆,37.5726485,126.9105509
1722,11410000323,국공립,221,0.49325,0.1276666666666666,0.4635,0.2549166666666667,0.525,0.3728666666666667,하늘숲어린이집,서울특별시 서대문구 수색로 100 307동 1층,37.5726485,126.9105509
1723,11410000324,국공립,71,0.3082499999999999,0.087,0.6375,0.069,0.351,0.29055,맑은숲어린이집,서울특별시 서대문구 수색로 100 407동 1층,37.5726485,126.9105509
1724,11410000325,국공립,124,0.3622499999999999,0.0873333333333333,0.5660000000000001,0.0355,0.861,0.3824166666666667,자연숲어린이집,서울특별시 서대문구 수색로 100 105동 1층,37.5726485,126.9105509
1725,11410000326,민간,53,0.2915,0.1143333333333333,0.7805,0.5660000000000001,1.0,0.5504666666666667,예꿈어린이집,서울특별시 서대문구 독립문공원길 20,37.5723635,126.9586607
